year,schoolId,grade,enrollment
2014,497,0,62
2014,497,1,54
2014,497,2,56
2014,497,3,48
2014,497,4,40
2014,497,5,21
2014,420,0,93
2014,420,1,87
2014,420,2,89
2014,420,3,91
2014,420,4,86
2014,420,5,80
2014,618,0,60
2014,618,1,63
2014,618,2,63
2014,618,3,64
2014,618,4,62
2014,618,5,63
2014,618,6,61
2014,618,7,57
2014,618,8,70
2014,537,0,68
2014,537,1,67
2014,537,2,66
2014,537,3,65
2014,537,4,66
2014,537,5,59
